Date,Flow
2102-01-03,171.924959607
2102-01-04,101.449012478
2102-01-05,85.7664672094
2102-01-06,97.3087488773
2102-01-07,95.1636683253
2102-01-08,105.654445392
2102-01-09,129.981517379
2102-01-10,124.586193399
2102-01-11,95.8618493155
2102-01-12,65.9873741133
2102-01-13,44.5464308636
2102-01-14,32.0268639063
2102-01-15,24.2854194714
2102-01-16,19.3896602648
2102-01-17,35.2853804988
2102-01-18,63.6093983862
2102-01-19,64.8040792645
2102-01-20,49.1287445293
2102-01-21,50.2169729597
2102-01-22,85.2195067465
2102-01-23,125.152752067
2102-01-24,129.60659932
2102-01-25,111.695590181
2102-01-26,89.3071833874
2102-01-27,80.8506437958
2102-01-28,99.7775932586
2102-01-29,135.236344133
2102-01-30,179.861359105
2102-01-31,200.868683782
2102-02-01,170.811150752
2102-02-02,121.693829431
2102-02-03,86.79352434
2102-02-04,73.8978770597
2102-02-05,95.7652347938
2102-02-06,177.040178872
2102-02-07,234.849219795
2102-02-08,192.294273799
2102-02-09,130.086658459
2102-02-10,96.519725134
2102-02-11,76.1291671739
2102-02-12,63.0391474958
2102-02-13,54.3373866767
2102-02-14,48.8080239011
2102-02-15,48.7873493906
2102-02-16,48.3137526718
2102-02-17,42.6574566707
2102-02-18,38.7431647324
2102-02-19,60.9269653449
2102-02-20,92.4936296121
2102-02-21,88.0399670735
2102-02-22,66.5944465308
2102-02-23,52.7648886234
2102-02-24,45.5236571349
2102-02-25,43.4236239458
2102-02-26,121.858560517
2102-02-27,220.339705157
2102-02-28,194.791340374
2102-03-01,127.572909737
2102-03-02,92.8802757453
2102-03-03,73.7398987548
2102-03-04,88.0720601358
2102-03-05,109.927473972
2102-03-06,173.327767357
2102-03-07,248.714093976
2102-03-08,217.772938163
2102-03-09,168.350585715
2102-03-10,206.392076605
2102-03-11,259.470285493
2102-03-12,306.045957208
2102-03-13,356.235667689
2102-03-14,320.163087889
2102-03-15,231.649428263
2102-03-16,169.649471958
2102-03-17,132.130507695
2102-03-18,107.99626574
2102-03-19,92.4000051012
2102-03-20,81.9724476173
2102-03-21,74.3578183799
2102-03-22,68.458607192
2102-03-23,63.7345480638
2102-03-24,60.0545791441
2102-03-25,57.1897859146
2102-03-26,54.5994062736
2102-03-27,54.4316956163
2102-03-28,54.3776390932
2102-03-29,51.3618871643
2102-03-30,50.630125925
2102-03-31,50.250669058
2102-04-01,76.5603051368
2102-04-02,103.062788875
2102-04-03,84.21136573
2102-04-04,60.829634675
2102-04-05,51.7340395355
2102-04-06,46.0611445465
2102-04-07,41.8602309368
2102-04-08,38.6948357554
2102-04-09,40.9644040689
2102-04-10,43.1982453765
2102-04-11,44.3613109609
2102-04-12,44.7415798785
2102-04-13,71.4923981085
2102-04-14,145.139436048
2102-04-15,181.079891885
2102-04-16,144.003504445
2102-04-17,99.4156682695
2102-04-18,72.245763929
2102-04-19,55.300596347
2102-04-20,53.3813968754
2102-04-21,68.0223402993
2102-04-22,75.174646388
2102-04-23,90.0657319516
2102-04-24,109.149126159
2102-04-25,91.4211949588
2102-04-26,64.0301830648
2102-04-27,50.1186944811
2102-04-28,54.4637738624
2102-04-29,61.7873312653
2102-04-30,51.1869537386
2102-05-01,47.6269938893
2102-05-02,52.4275723447
2102-05-03,46.95326754
2102-05-04,38.2029661158
2102-05-05,32.6865609641
2102-05-06,29.1498398211
2102-05-07,26.5993208552
2102-05-08,24.6240253136
2102-05-09,23.012990358
2102-05-10,21.6424406633
2102-05-11,20.4369258778
2102-05-12,19.3498465875
2102-05-13,18.3520165466
2102-05-14,17.4248046893
2102-05-15,16.5560519514
2102-05-16,15.7376215159
2102-05-17,14.963885014
2102-05-18,14.230770386
2102-05-19,13.8162231882
2102-05-20,14.1155880045
2102-05-21,15.8059695824
2102-05-22,17.864293531
2102-05-23,18.0880053229
2102-05-24,17.1505306542
2102-05-25,16.306094127
2102-05-26,15.5104166265
2102-05-27,14.7547134091
2102-05-28,14.0361717476
2102-05-29,13.3528032394
2102-05-30,12.7028402264
2102-05-31,12.0846323229
2102-06-01,11.4966197887
2102-06-02,11.4238672526
2102-06-03,13.0245471497
2102-06-04,15.2120743822
2102-06-05,15.6350851485
2102-06-06,14.8767914886
2102-06-07,14.1419334004
2102-06-08,13.4517529244
2102-06-09,12.9569844149
2102-06-10,13.8692248704
2102-06-11,15.9305524911
2102-06-12,17.1624814441
2102-06-13,17.7213105911
2102-06-14,18.0613462962
2102-06-15,18.4314511014
2102-06-16,18.879584838
2102-06-17,18.494126221
2102-06-18,22.2178787047
2102-06-19,36.4130740351
2102-06-20,42.8714430597
2102-06-21,35.1739154613
2102-06-22,28.8428948175
2102-06-23,24.8896187896
2102-06-24,22.3787192923
2102-06-25,21.1125169142
2102-06-26,20.0603870069
2102-06-27,19.0797866345
2102-06-28,18.4174586335
2102-06-29,18.0256980532
2102-06-30,17.3764425817
2102-07-01,16.5195823182
2102-07-02,15.7131484502
2102-07-03,14.9475611314
2102-07-04,14.2196552283
2102-07-05,13.5273746272
2102-07-06,12.8689250076
2102-07-07,12.2426365228
2102-07-08,11.6469315498
2102-07-09,11.080313198
2102-07-10,10.5413591152
2102-07-11,10.0287170085
2102-07-12,9.54110087714
2102-07-13,9.07728762212
2102-07-14,8.63611390547
2102-07-15,8.21647320167
2102-07-16,7.81731301226
2102-07-17,7.43763222617
2102-07-18,7.07647861374
2102-07-19,6.73294644557
2102-07-20,6.72380204778
2102-07-21,8.2026384693
2102-07-22,10.7321702063
2102-07-23,12.1452057992
2102-07-24,12.2239593756
2102-07-25,12.1129662926
2102-07-26,12.6673773364
2102-07-27,14.0464330543
2102-07-28,15.1062542941
2102-07-29,15.0847362558
2102-07-30,14.6146146203
2102-07-31,14.707122821
2102-08-01,15.3548319221
2102-08-02,16.3836272727
2102-08-03,17.5737532069
2102-08-04,17.6139974658
2102-08-05,16.8745031586
2102-08-06,16.4031734016
2102-08-07,16.2763995942
2102-08-08,17.514608014
2102-08-09,19.7019764225
2102-08-10,20.5023960789
2102-08-11,20.429704112
2102-08-12,21.1975811863
2102-08-13,21.8379200659
2102-08-14,21.5446879998
2102-08-15,21.7416729927
2102-08-16,22.725785682
2102-08-17,23.3004074539
2102-08-18,23.2536481345
2102-08-19,23.2466895601
2102-08-20,23.3132627597
2102-08-21,22.666565799
2102-08-22,21.5346404121
2102-08-23,20.4812204258
2102-08-24,19.4825257563
2102-08-25,18.6478847894
2102-08-26,18.1049960227
2102-08-27,17.6018850604
2102-08-28,16.8671128415
2102-08-29,16.0691638911
2102-08-30,16.0129911572
2102-08-31,16.9151036998
2102-09-01,17.6507876204
2102-09-02,18.2758837162
2102-09-03,18.9069292275
2102-09-04,18.570512189
2102-09-05,17.6348219176
2102-09-06,16.7709686283
2102-09-07,15.9532819123
2102-09-08,15.1761699774
2102-09-09,14.4633338954
2102-09-10,13.8096040901
2102-09-11,13.1611623887
2102-09-12,12.5198959219
2102-09-13,11.9103321509
2102-09-14,11.8387071344
2102-09-15,12.9297157727
2102-09-16,14.5148701239
2102-09-17,15.8843250126
2102-09-18,16.6934625378
2102-09-19,16.6144294195
2102-09-20,16.1979894381
2102-09-21,15.6672784167
2102-09-22,14.9393096793
2102-09-23,14.208825878
2102-09-24,13.527899929
2102-09-25,13.4854691454
2102-09-26,14.4746583832
2102-09-27,15.2544032089
2102-09-28,15.1550754894
2102-09-29,14.8287704351
2102-09-30,14.3350200778
2102-10-01,13.6517865123
2102-10-02,13.0640906867
2102-10-03,12.8897071956
2102-10-04,12.9557995012
2102-10-05,12.657802305
2102-10-06,12.1387155239
2102-10-07,11.7252196619
2102-10-08,11.6298631245
2102-10-09,11.7467685322
2102-10-10,11.4774619028
2102-10-11,11.0738033862
2102-10-12,16.4713217609
2102-10-13,23.2043228182
